问题编号,数据集,类别,可行性得分,问题(前100字符)
Query_01,CA_Prod,Comprehensive Nutritional Supplements,7.00,vitamin c formula
Query_02,CA_Prod,Android Tablets and Smartphones,7.00,chinese keyboard
Query_03,MT-Human,Humanities,6.50,Describe five key principles in evaluating an argument in analytical writing.
Query_04,CA_Prod,Android Tablets and Smartphones,6.50,cell phone camera
Query_05,LM-Market,E-commerce Marketing,6.25,what is the best way to spend time during vaction?
Query_06,CA_Prod,Android Tablets and Smartphones,5.75,when was the latest ipad pro released
Query_07,MT-Human,Humanities,5.50,What are some business etiquette norms when doing business in Japan?
Query_08,LM-Market,E-commerce Marketing,5.50,What is the best computer game of 2021 year?
Query_09,LM-Market,E-commerce Marketing,5.50,"User : ""I am looking for a place to stay. The hotel should have a star of 3 and should be in the mod..."
Query_10,LM-Market,E-commerce Marketing,5.50,the most beautiful 10 countries in the wworld
Query_11,LM-Market,E-commerce Marketing,5.50,what are the top 5 traveling destinations for summer in europe?
Query_12,LM-Market,E-commerce Marketing,5.50,Please give me a paragraph conclusion for my article summing up everything about low impact exercise...
Query_13,LM-Market,E-commerce Marketing,5.25,what are the benefits of cold brew coffee?
Query_14,LM-Market,E-commerce Marketing,5.25,"What's the best 3 matching Wikipedia title for the book 'How to Overcome Emotional Eating'?""
Answer ..."
Query_15,LM-Market,E-commerce Marketing,5.25,best countries to visit for tourism
Query_16,LM-Market,E-commerce Marketing,5.25,I have one hour after school to spend with my girlfriend before I go to work and then ultimately go ...
Query_17,CA_Prod,Contemporary Home Furnishings,5.25,ikea kitchen
Query_18,CA_Prod,Android Tablets and Smartphones,5.25,kids laptop
Query_19,CA_Prod,Comprehensive Nutritional Supplements,5.25,nutrition facts vitamin c and biotin
Query_20,CA_Prod,Android Tablets and Smartphones,5.25,pictures of the iphone6
